BJD - 2454833, Corrected Flux
2907.645267418, 1.004403013,
2907.665699774, 1.004486802,
2907.686131928, 1.004504766,
2907.706564182, 1.004152949,
2907.726996536, 1.004539996,
2907.747428689, 1.004795897,
2907.788293293, 1.004376315,
2907.808725545, 1.004294838,
2907.829157696, 1.004214249,
2907.849590046, 1.004171363,
2907.870022295, 1.004237696,
2907.890454445, 1.004257731,
2907.910886793, 1.004239477,
2907.931319041, 1.004295380,
2907.951751189, 1.004353263,
2907.972183536, 1.004174483,
2907.992615782, 1.003976669,
2908.033480273, 1.004086307,
2908.053912517, 1.003968680,
2908.074344662, 1.003937141,
2908.094777005, 1.003884317,
2908.115209148, 1.003803087,
2908.135641391, 1.003798183,
2908.156073733, 1.003711566,
2908.176505974, 1.003659526,
2908.196938215, 1.003690011,
2908.217370455, 1.003571788,
2908.237802694, 1.003648104,
2908.278667172, 1.003164722,
2908.299099410, 1.003578846,
2908.319531747, 1.003340837,
2908.339963884, 1.003183066,
2908.360396121, 1.003342789,
2908.380828456, 1.003406786,
2908.401260591, 1.003334558,
2908.421692826, 1.003271789,
2908.442125160, 1.003255863,
2908.462557294, 1.003100385,
2908.482989527, 1.003110725,
2908.523853991, 1.002933142,
2908.544286222, 1.002565683,
2908.564718553, 1.002619762,
2908.585150683, 1.002802388,
2908.605582913, 1.002788157,
2908.626015242, 1.002808380,
2908.646447471, 1.002691063,
2908.666879598, 1.002588872,
2908.687311926, 1.002453170,
2908.707744153, 1.002445786,
2908.728176279, 1.002354963,
2908.748608605, 1.002432652,
2908.769040830, 1.002445884,
2908.789472955, 1.002456020,
2908.809905279, 1.002352604,
2908.830337502, 1.002133427,
2908.850769625, 1.002520624,
2908.871201948, 1.002770816,
2908.891634070, 1.002802590,
2908.912066291, 1.002641578,
2908.932498612, 1.002342198,
2908.952930732, 1.001855539,
2908.973362952, 1.001428440,
2909.014227490, 1.001903389,
2909.034659708, 1.001942258,
2909.055091925, 1.001769502,
2909.075524142, 1.001593411,
2909.095956358, 1.001320895,
2909.116388575, 1.001080328,
2909.136820790, 1.001480739,
2909.157253104, 1.001578146,
2909.177685218, 1.001479408,
2909.198117432, 1.001270448,
2909.218549745, 1.001181259,
2909.259414070, 1.001131846,
2909.279846382, 1.001064936,
2909.300278492, 1.000992621,
2909.320710703, 1.000906160,
2909.341143012, 1.000716072,
2909.361575122, 1.000814100,
2909.382007331, 1.000327748,
2909.402439639, 1.000382013,
2909.422871746, 1.000718252,
2909.443303953, 1.000708747,
2909.463736260, 1.000916152,
2909.504600571, 1.000523982,
2909.525032876, 1.000397702,
2909.545465080, 1.000379397,
2909.565897184, 1.000367648,
2909.586329487, 1.000280273,
2909.606761590, 1.000286990,
2909.627193792, 1.000228745,
2909.647626094, 1.000035238,
2909.668058195, 0.999526316,
2909.688490395, 0.999788336,
2909.708922696, 0.999877643,
2909.749786994, 0.999941302,
2909.770219292, 0.999905458,
2909.790651390, 0.999899959,
2909.811083587, 0.999776534,
2909.831515884, 0.999552672,
2909.851948080, 0.999519656,
2909.872380176, 0.999699183,
2909.892812471, 0.999546959,
2909.913244665, 0.999572436,
2909.933676759, 0.999275426,
2909.954109053, 0.999039961,
2909.974541245, 0.999244370,
2909.994973338, 0.999324666,
2910.015405630, 0.999215049,
2910.035837821, 0.999246854,
2910.056270111, 0.999197383,
2910.076702202, 0.999049209,
2910.097134391, 0.999044120,
2910.117566680, 0.999152810,
2910.137998769, 0.999244463,
2910.158430957, 0.999358026,
2910.178863245, 0.999387027,
2910.199295331, 0.999425785,
2910.240159803, 0.998286043,
2910.260591889, 0.998679226,
2910.281024074, 0.998695141,
2910.301456358, 0.998606949,
2910.321888442, 0.998559642,
2910.342320625, 0.998556164,
2910.362752908, 0.998380718,
2910.383184990, 0.998282249,
2910.403617171, 0.997752445,
2910.424049452, 0.998244644,
2910.444481532, 0.998322071,
2910.485345991, 0.998020867,
2910.505778070, 0.997468735,
2910.526210249, 0.997645499,
2910.546642527, 0.998023208,
2910.567074603, 0.997935415,
2910.587506780, 0.997830347,
2910.607939056, 0.997959306,
2910.628371132, 0.997737635,
2910.648803307, 0.997784516,
2910.669235582, 0.997664990,
2910.689667756, 0.997794667,
2910.730532102, 0.997529733,
2910.750964274, 0.997455047,
2910.771396346, 0.997276350,
2910.791828618, 0.996879075,
2910.812260788, 0.997355943,
2910.832692858, 0.997378820,
2910.853125128, 0.997344725,
2910.873557297, 0.997358424,
2910.893989366, 0.997342279,
2910.914421634, 0.997246314,
2910.934853801, 0.997245059,
2910.975718135, 0.997189788,
2910.996150301, 0.997190091,
2911.016582466, 0.997115424,
2911.037014631, 0.997020634,
2911.057446795, 0.996798337,
2911.077878959, 0.996474029,
2911.098311122, 0.996915699,
2911.118743285, 0.996707427,
2911.139175447, 0.996736264,
2911.159607609, 0.996751545,
2911.180039770, 0.996696740,
2911.220904091, 0.996668169,
2911.241336250, 0.996582864,
2911.261768509, 0.996538236,
2911.282200568, 0.996436294,
2911.302632726, 0.996535778,
2911.323064983, 0.996473079,
2911.343497040, 0.996023673,
2911.363929196, 0.996072093,
2911.384361452, 0.996386533,
2911.404793507, 0.996271976,
2911.425225662, 0.996203454,
2911.445657916, 0.996229464,
2911.466089970, 0.996206144,
2911.486522123, 0.996162321,
2911.506954375, 0.996175626,
2911.527386528, 0.996210226,
2911.547818580, 0.996159869,
2911.568250830, 0.996148881,
2911.588682981, 0.996049118,
2911.609115031, 0.995939483,
2911.629547280, 0.995573075,
2911.649979429, 0.995798436,
2911.670411477, 0.995926035,
2911.711275872, 0.995785406,
2911.731707919, 0.995876862,
2911.752140166, 0.996026429,
2911.772572312, 0.996053863,
2911.793004356, 0.996015333,
2911.813436601, 0.995913490,
2911.833868745, 0.995742591,
2911.854300789, 0.995803686,
2911.874733032, 0.995778921,
2911.895165174, 0.995633114,
2911.915597316, 0.995422999,
2911.936029458, 0.995692630,
2911.956461599, 0.995761780,
2911.976893640, 0.995778577,
2911.997325879, 0.995739764,
2912.017758018, 0.995794652,
2912.038190058, 0.995857956,
2912.058622296, 0.995768671,
2912.079054434, 0.995887975,
2912.099486471, 0.995772800,
2912.119918708, 0.995792642,
2912.140350844, 0.995606277,
2912.160782880, 0.995606761,
2912.181215115, 0.995267834,
2912.201647250, 0.995235786,
2912.222079384, 0.995618626,
2912.242511517, 0.995686768,
2912.262943650, 0.995659648,
2912.283375783, 0.995755182,
2912.303807915, 0.995720875,
2912.324240046, 0.995737658,
2912.344672178, 0.995783899,
2912.365104408, 0.995866224,
2912.385536438, 0.995863250,
2912.405968567, 0.995833884,
2912.446832824, 0.995817030,
2912.467265052, 0.995598135,
2912.487697179, 0.995891349,
2912.508129207, 0.996021154,
2912.528561433, 0.996029788,
2912.548993558, 0.995996922,
2912.569425584, 0.996113156,
2912.589857809, 0.996227834,
2912.610289832, 0.996133187,
2912.630721956, 0.996197105,
2912.651154179, 0.996266810,
2912.671586202, 0.996226508,
2912.692018324, 0.996313063,
2912.712450546, 0.996289777,
2912.732882667, 0.996160571,
2912.753314687, 0.995857028,
2912.773746907, 0.996381715,
2912.794179027, 0.996465764,
2912.814611046, 0.996557108,
2912.835043264, 0.996535936,
2912.855475382, 0.996556274,
2912.875907400, 0.996632155,
2912.896339616, 0.996658627,
2912.916771733, 0.996739549,
2912.937203748, 0.996766940,
2912.957635964, 0.996902111,
2912.978068079, 0.996942294,
2912.998500093, 0.997007267,
2913.018932307, 0.996664202,
2913.039364420, 0.996623534,
2913.059796533, 0.997082506,
2913.080228645, 0.997165630,
2913.100660757, 0.997290255,
2913.121092868, 0.997351784,
2913.141524978, 0.997441408,
2913.182389199, 0.997546436,
2913.202821408, 0.997651720,
2913.223253416, 0.997678255,
2913.243685524, 0.997754500,
2913.264117732, 0.997740794,
2913.284549739, 0.997757744,
2913.304981845, 0.997468975,
2913.325414052, 0.997563434,
2913.345846057, 0.998081474,
2913.366278162, 0.998195811,
2913.386710266, 0.998322537,
2913.407142371, 0.998454048,
2913.427574474, 0.998558962,
2913.448006577, 0.998720956,
2913.468438679, 0.998718390,
2913.488870781, 0.998832761,
2913.509302882, 0.998801655,
2913.529734983, 0.998900895,
2913.550167084, 0.999107753,
2913.570599284, 0.999126200,
2913.591031283, 0.998689094,
2913.611463482, 0.999001440,
2913.631895580, 0.999414853,
2913.672759775, 0.999596732,
2913.693191872, 0.999703414,
2913.713623868, 0.999730630,
2913.734056064, 0.999837031,
2913.754488159, 0.999935030,
2913.774920154, 1.000005211,
2913.795352348, 1.000300560,
2913.815784442, 1.000314994,
2913.836216435, 1.000443095,
2913.856648628, 1.000296473,
2913.877080720, 1.000227779,
2913.897512812, 1.000609011,
2913.917944902, 1.000826983,
2913.938376993, 1.000911637,
2913.958809084, 1.000917767,
2913.979241173, 1.000987700,
2913.999673262, 1.001059161,
2914.020105351, 1.001238990,
2914.040537539, 1.001369840,
2914.060969526, 1.001392776,
2914.081401613, 1.001514956,
2914.101833700, 1.001583449,
2914.122265786, 1.001748160,
2914.142697871, 1.001512577,
2914.163129957, 1.001508322,
2914.183562041, 1.002003837,
2914.203994025, 1.002078095,
2914.224426208, 1.002258861,
2914.244858292, 1.002284546,
2914.265290374, 1.002303084,
2914.285722456, 1.002344619,
2914.306154538, 1.002438168,
2914.326586619, 1.002527445,
2914.347018699, 1.002682625,
2914.367450779, 1.002756213,
2914.387882858, 1.002915971,
2914.408315037, 1.002937285,
2914.428747016, 1.002465214,
2914.449179094, 1.002676571,
2914.469611271, 1.003138301,
2914.490043248, 1.003095799,
2914.510475324, 1.003209467,
2914.530907500, 1.003249809,
2914.551339476, 1.003382325,
2914.571771551, 1.003374710,
2914.592203725, 1.003483562,
2914.612635699, 1.003527751,
2914.653499945, 1.003537852,
2914.673931918, 1.003559731,
2914.694363989, 1.003478354,
2914.714796161, 1.003167610,
2914.735228232, 1.003556163,
2914.755660302, 1.003713738,
2914.776092372, 1.003808979,
2914.796524441, 1.003873678,
2914.816956510, 1.003805766,
2914.837388578, 1.003870767,
2914.857820646, 1.003840500,
2914.878252714, 1.003933222,
2914.898684780, 1.003985834,
2914.919116847, 1.004041293,
2914.939548912, 1.003994116,
2914.959980978, 1.004046437,
2914.980412943, 1.003770337,
2915.000845107, 1.003717107,
2915.021277171, 1.004165476,
2915.041709134, 1.004193588,
2915.062141297, 1.004194154,
2915.082573359, 1.004159442,
2915.103005421, 1.004120407,
2915.164301604, 1.003953018,
2915.184733663, 1.003912049,
2915.205165723, 1.003974639,
2915.225597782, 1.003870523,
2915.246029940, 1.003960092,
2915.266461898, 1.003431664,
2915.286893955, 1.003560395,
2915.307326112, 1.003959520,
2915.327758068, 1.003940506,
2915.348190124, 1.003862893,
2915.368622280, 1.003810472,
2915.389054234, 1.003795109,
2915.409486289, 1.003712865,
2915.429918443, 1.003658721,
2915.450350396, 1.003757195,
2915.470782449, 1.003672925,
2915.491214601, 1.003621286,
2915.511646553, 1.003655655,
2915.532078604, 1.003501063,
2915.552510755, 1.002952064,
2915.572942806, 1.003287518,
2915.593374756, 1.003461068,
2915.613806905, 1.003426255,
2915.634238954, 1.003445000,
2915.715967044, 1.003301960,
2915.736399191, 1.003272241,
2915.756831137, 1.003174162,
2915.777263182, 1.003124787,
2915.797695327, 1.003055122,
2915.818127271, 1.002869594,
2915.838559315, 1.002368816,
2915.858991459, 1.002752166,
2915.879423402, 1.002884718,
2915.899855544, 1.002890887,
2915.920287586, 1.002819512,
2915.940719628, 1.002731217,
2915.961151669, 1.002597756,
2915.981583709, 1.002626198,
2916.002015749, 1.002529753,
2916.022447789, 1.002462794,
2916.042879828, 1.002408053,
2916.063311866, 1.002329585,
2916.083744004, 1.002286135,
2916.104175942, 1.001839420,
2916.124607979, 1.001686199,
2916.145040115, 1.002047598,
2916.165472052, 1.002018888,
2916.185904087, 1.001960934,
2916.206336222, 1.001975350,
2916.226768157, 1.001793866,
2916.247200191, 1.001730826,
2916.267632324, 1.001674326,
2916.288064258, 1.001685892,
2916.308496290, 1.001590807,
2916.328928422, 1.001483948,
2916.349360354, 1.001465203,
2916.369792385, 1.001206789,
2916.390224416, 1.000778271,
2916.410656546, 1.000807578,
2916.431088476, 1.001039963,
2916.451520605, 1.000978634,
2916.471952534, 1.000911888,
2916.492384562, 1.000782194,
2916.512816690, 1.000681476,
2916.533248617, 1.000651402,
2916.553680644, 1.000622185,
2916.574112770, 1.000492003,
2916.594544696, 1.000407165,
2916.614976721, 1.000311599,
2916.635408846, 1.000205293,
2916.655840770, 0.999943956,
2916.676272794, 0.999496431,
2916.696704917, 0.999818483,
2916.717136841, 1.000072403,
2916.737568863, 0.999925913,
2916.758000985, 0.999845440,
2916.778433006, 0.999730648,
2916.798864927, 0.999619497,
2916.819297048, 0.999575109,
2916.839729068, 0.999571917,
2916.860160987, 0.999488301,
2916.880593106, 0.999314276,
2916.901025124, 0.999262946,
2916.921457242, 0.999225913,
2916.941889160, 0.998867093,
2916.962321177, 0.998592198,
2916.982753294, 0.998911092,
2917.003185210, 0.998845868,
2917.023617225, 0.998842643,
2917.044049341, 0.998653401,
2917.064481255, 0.998597226,
2917.105345283, 0.998438806,
2917.125777296, 0.998369497,
2917.146209309, 0.998376828,
2917.166641321, 0.998253212,
2917.187073333, 0.998242910,
2917.207505344, 0.998106234,
2917.227937355, 0.997639595,
2917.248369365, 0.997498158,
2917.268801375, 0.997821032,
2917.289233485, 0.997799149,
2917.309665394, 0.997692326,
2917.330097402, 0.997735123,
2917.350529510, 0.997715009,
2917.370961417, 0.997617814,
2917.391393424, 0.997539162,
2917.411825531, 0.997481458,
2917.432257437, 0.997356331,
2917.452689443, 0.997354704,
2917.473121547, 0.997213662,
2917.493553452, 0.997123768,
2917.513985456, 0.996572867,
2917.534417560, 0.996660050,
2917.554849463, 0.997030086,
2917.575281465, 0.996812777,
2917.595713568, 0.996824650,
2917.616145569, 0.996804986,
2917.636577470, 0.996727192,
2917.657009571, 0.996720270,
2917.677441572, 0.996603038,
2917.697873471, 0.996442917,
2917.718305571, 0.996500004,
2917.738737569, 0.996486722,
2917.759169468, 0.996448855,
2917.779601566, 0.996159623,
2917.800033563, 0.995831842,
2917.820465460, 0.996127949,
2917.840897557, 0.996267163,
2917.861329553, 0.996175859,
2917.881761448, 0.996212882,
2917.902193543, 0.996110040,
2917.922625538, 0.996079567,
2917.943057532, 0.996036332,
2917.963489525, 0.996069002,
2917.983921518, 0.996107104,
2918.004353511, 0.996120966,
2918.024785504, 0.996138415,
2918.045217495, 0.996082275,
2918.086081477, 0.995337891,
2918.106513467, 0.995877430,
2918.126945557, 0.995832143,
2918.147377447, 0.995438199,
2918.167809435, 0.995623295,
2918.188241524, 0.995820307,
2918.208673412, 0.995757962,
2918.229105399, 0.995630911,
2918.249537486, 0.995639380,
2918.269969373, 0.995711784,
2918.290401359, 0.995625750,
2918.310833445, 0.995670085,
2918.331265330, 0.995684379,
2918.351697314, 0.995129949,
2918.372129398, 0.995225591,
2918.392561282, 0.995628092,
2918.412993265, 0.995616087,
2918.433425348, 0.995597683,
2918.453857330, 0.995637517,
2918.474289212, 0.995745816,
2918.494721294, 0.995805167,
2918.515153274, 0.995830141,
2918.535585155, 0.995767414,
2918.556017235, 0.995823781,
2918.576449214, 0.995761727,
2918.596881093, 0.995729322,
2918.617313172, 0.995644917,
2918.637745150, 0.995334823,
2918.658177028, 0.995541186,
2918.678609104, 0.995884091,
2918.699040981, 0.995896657,
2918.719472957, 0.996007433,
2918.739905033, 0.995945771,
2918.760336908, 0.996037473,
2918.780768883, 0.996060388,
2918.801200958, 0.996012692,
2918.821632932, 0.996081292,
2918.842064805, 0.996084384,
2918.862496878, 0.996023749,
2918.882928851, 0.996106416,
2918.903360723, 0.996009550,
2918.923792794, 0.995737425,
2918.944224765, 0.996196471,
2918.964656635, 0.996333949,
2918.985088706, 0.996362802,
2919.005520675, 0.996401440,
2919.025952745, 0.996398758,
2919.066816582, 0.996485460,
2919.087248650, 0.996546770,
2919.107680517, 0.996602826,
2919.128112484, 0.996635366,
2919.148544550, 0.996643554,
2919.168976416, 0.996599161,
2919.189408382, 0.996331501,
2919.209840447, 0.996207339,
2919.230272312, 0.996794701,
2919.250704276, 0.996886655,
2919.271136339, 0.997042943,
2919.312000165, 0.997141506,
2919.332432228, 0.997090243,
2919.352864189, 0.997143565,
2919.373296051, 0.997138220,
2919.393728112, 0.997225743,
2919.414160072, 0.997272816,
2919.434591932, 0.997325722,
2919.455023992, 0.997373499,
2919.475455851, 0.996964329,
2919.495887809, 0.997156546,
2919.516319867, 0.997497494,
2919.536751725, 0.997589715,
2919.557183682, 0.997588553,
2919.577615739, 0.997676367,
2919.598047596, 0.997629570,
2919.618479551, 0.997743468,
2919.638911607, 0.997756230,
2919.659343561, 0.997795282,
2919.679775416, 0.997846687,
2919.700207470, 0.998000621,
2919.720639424, 0.997987626,
2919.741071277, 0.997705654,
2919.761503329, 0.997468254,
2919.781935282, 0.997877468,
2919.802367134, 0.998084211,
2919.822799185, 0.998159883,
2919.843231136, 0.998141415,
2919.863662986, 0.998139013,
2919.884095036, 0.998141050,
2919.904526985, 0.998196224,
2919.924958835, 0.998715984,
2919.945390883, 0.998693538,
2919.965822831, 0.998719826,
2919.986254678, 0.998680830,
2920.006686726, 0.998753884,
2920.027118672, 0.998475115,
2920.047550719, 0.998181007,
2920.067982565, 0.998741767,
2920.088414510, 0.998778501,
2920.108846455, 0.998858415,
2920.129278499, 0.998909369,
2920.149710343, 0.998853579,
2920.170142287, 0.998867677,
2920.190574230, 0.998781749,
2920.211006173, 0.998822157,
2920.231438215, 0.998805749,
2920.251870057, 0.998820814,
2920.292734039, 0.998872287,
2920.313165879, 0.998547878,
2920.333597819, 0.998551842,
2920.354029858, 0.998898538,
2920.374461697, 0.998855121,
2920.394893636, 0.998950893,
2920.415325674, 0.998931083,
2920.435757512, 0.998989839,
2920.456189449, 0.999004726,
2920.476621486, 0.999038149,
2920.497053423, 0.999035588,
2920.537917294, 0.999085411,
2920.558349229, 0.999086045,
2920.578781063, 0.998979862,
2920.599213097, 0.998583131,
2920.619645031, 0.998867172,
2920.640076864, 0.999085696,
2920.660508897, 0.999160401,
2920.680940829, 0.999065175,
2920.701372661, 0.999175462,
2920.721804693, 0.999124800,
2920.742236623, 0.999099918,
2920.762668454, 0.999152007,
2920.783100484, 0.999071430,
2920.803532414, 0.999123045,
2920.823964243, 0.999238302,
2920.844396272, 0.999225630,
2920.864828200, 0.998937004,
2920.885260128, 0.998577743,
2920.905692055, 0.999095663,
2920.926123982, 0.999145307,
2920.946555808, 0.999055026,
2920.966987834, 0.999108243,
2920.987419760, 0.999179322,
2921.028283610, 0.999224908,
2921.048715534, 0.999226276,
2921.069147358, 0.999171774,
2921.089579382, 0.999237789,
2921.110011304, 0.999133606,
2921.130443127, 0.999098005,
2921.150875149, 0.998740862,
2921.171307071, 0.998610119,
2921.191739092, 0.999120497,
2921.212170913, 0.999171601,
2921.232602833, 0.999038069,
2921.253034852, 0.999121980,
2921.273466672, 0.999074122,
2921.293898591, 0.999024762,
2921.314330609, 0.999004448,
2921.334762528, 0.999035865,
2921.355194345, 0.999045177,
2921.375626362, 0.999095537,
2921.396058279, 0.999098651,
2921.416490095, 0.999116564,
2921.436922111, 0.998701040,
2921.457354027, 0.998680583,
2921.477785842, 0.998962008,
2921.498212042, 0.999016471,
2921.518649745, 0.998922840,
2921.539081558, 0.998932963,
2921.559513571, 0.998948615,
2921.579945484, 0.998874118,
2921.600377297, 0.998872805,
2921.620809309, 0.998921688,
2921.641241220, 0.998857346,
2921.661673031, 0.998778264,
2921.682105042, 0.998617854,
2921.702536952, 0.998417908,
2921.722968862, 0.998201493,
2921.763832679, 0.998770382,
2921.784264588, 0.998772358,
2921.804696596, 0.998738368,
2921.825128404, 0.998685751,
2921.845560311, 0.998621469,
2921.865992317, 0.998615516,
2921.886424124, 0.998649453,
2921.906856029, 0.998565047,
2921.927288035, 0.998537006,
2921.947719840, 0.998435116,
2921.968151744, 0.998315867,
2922.009015552, 0.997998821,
2922.029447455, 0.998375926,
2922.049879358, 0.998333204,
2922.070311260, 0.998316643,
2922.090743162, 0.998245531,
2922.111175063, 0.998150528,
2922.131606965, 0.998180671,
2922.152038865, 0.998216906,
2922.172470865, 0.998074448,
2922.192902665, 0.997952594,
2922.213334664, 0.997908483,
2922.254198362, 0.998003886,
2922.274630360, 0.997696672,
2922.295062257, 0.997553621,
2922.315494054, 0.998022827,
2922.335926051, 0.997951655,
2922.356357947, 0.997894100,
2922.376789743, 0.997856216,
2922.397221738, 0.997853065,
2922.417653633, 0.997750411,
2922.438085428, 0.997749371,
2922.458517422, 0.997843731,
2922.478949316, 0.997795729,
2922.499381109, 0.997747981,
2922.519813102, 0.997622802,
2922.540244995, 0.997567720,
2922.560676886, 0.997081928,
2922.581108778, 0.997210561,
2922.601540669, 0.997398193,
2922.621972560, 0.997537266,
2922.642404550, 0.997449627,
2922.662836340, 0.997409758,
2922.683268229, 0.997338179,
2922.703700218, 0.997242852,
2922.744563895, 0.997369712,
2922.764995882, 0.997363162,
2922.785427670, 0.997315223,
2922.805859556, 0.997261862,
2922.826291443, 0.997043011,
2922.846723329, 0.996800901,
2922.867155215, 0.996889003,
2922.887587100, 0.997005388,
2922.908018985, 0.997139237,
2922.928450869, 0.997304721,
2922.948882753, 0.997155337,
2923.010178501, 0.996959607,
2923.030610284, 0.996951647,
2923.051042165, 0.996896218,
2923.071474147, 0.996787483,
2923.091905928, 0.996820056,
2923.112337808, 0.996578554,
2923.132769788, 0.996411489,
2923.153201568, 0.996774752,
2923.173633547, 0.996715124,
2923.194065426, 0.996702659,
2923.234929182, 0.996657200,
2923.255361060, 0.996684931,
2923.275792837, 0.996658908,
2923.296224813, 0.996618672,
2923.316656690, 0.996557185,
2923.337088466, 0.996458831,
2923.357520441, 0.996495336,
2923.377952316, 0.996411236,
2923.398384191, 0.995960464,
2923.418816064, 0.996019480,
2923.439247938, 0.996313895,
2923.459679812, 0.996472125,
2923.480111784, 0.996459228,
2923.500543557, 0.996328980,
2923.520975429, 0.996338552,
2923.541407301, 0.996272234,
2923.561839172, 0.996341865,
2923.582271043, 0.996269822,
2923.602702913, 0.996136034,
2923.623134783, 0.996134511,
2923.643566652, 0.996153032,
2923.663998522, 0.996017093,
2923.684430390, 0.995525967,
2923.725294127, 0.996241195,
2923.745725994, 0.996180635,
2923.766157861, 0.996144881,
2923.786589728, 0.995963365,
2923.807021594, 0.996058683,
2923.827453460, 0.995980234,
2923.847885425, 0.995964688,
2923.868317190, 0.995945742,
2923.888749055, 0.996015043,
2923.909181019, 0.996045625,
2923.929612782, 0.995969070,
2923.950044646, 0.995699075,
2923.970476608, 0.995460191,
2923.990908371, 0.995729570,
2924.011340233, 0.995843359,
2924.031772195, 0.995823817,
2924.052203956, 0.995761081,
2924.072635817, 0.995630898,
2924.093067777, 0.995726355,
2924.113499537, 0.995888690,
2924.133931497, 0.995822652,
2924.154363356, 0.995668883,
2924.174795114, 0.995535041,
2924.215658931, 0.995656663,
2924.236090788, 0.995130254,
2924.256522645, 0.995138583,
2924.276954502, 0.995704218,
2924.297386358, 0.995659304,
2924.317818214, 0.995612053,
2924.338250070, 0.995675421,
2924.358681925, 0.995573798,
2924.379113780, 0.995513174,
2924.399545634, 0.995469820,
2924.419977388, 0.995441962,
2924.460841194, 0.995561756,
2924.481272947, 0.995523940,
2924.501704899, 0.995436559,
2924.522136750, 0.995144504,
2924.542568502, 0.995270810,
2924.563000453, 0.995601267,
2924.583432303, 0.995476176,
2924.603864153, 0.995572375,
2924.624296003, 0.995570197,
2924.644727853, 0.995478150,
2924.665159702, 0.995331847,
2924.685591650, 0.995371284,
2924.706023398, 0.995369438,
2924.726455246, 0.995399281,
2924.746887193, 0.995303675,
2924.767318940, 0.995283660,
2924.787750787, 0.995203713,
2924.808182732, 0.994938576,
2924.828614478, 0.995295350,
2924.849046324, 0.995567441,
2924.869478269, 0.995490988,
2924.889910013, 0.995516544,
2924.910341857, 0.995423139,
2924.951205544, 0.995242887,
2924.971637387, 0.995242359,
2924.992069329, 0.995261100,
2925.012501071, 0.995295100,
2925.032933013, 0.995289952,
2925.053364854, 0.995279303,
2925.073796695, 0.994927881,
2925.094228535, 0.994645391,
2925.114660375, 0.995109793,
2925.135092115, 0.995249501,
2925.155524054, 0.995276575,
2925.196387631, 0.995168960,
2925.216819569, 0.995029200,
2925.237251407, 0.995086395,
2925.257683144, 0.995120753,
2925.278115081, 0.995161073,
2925.298546917, 0.995062624,
2925.318978654, 0.994956483,
2925.339410589, 0.994844942,
2925.359842424, 0.994538341,
2925.380274159, 0.994412091,
2925.400706094, 0.994949450,
2925.421137928, 0.994994839,
2925.441569761, 0.994870121,
2925.462001594, 0.994877889,
2925.482433427, 0.994862447,
2925.502865260, 0.994849906,
2925.523297192, 0.994833968,
2925.543728923, 0.994954224,
2925.564160755, 0.994896379,
2925.584592685, 0.994856650,
