  2453693.751704     0.977057     0.001620 0 -1 -1 
  2453693.753008     0.977777     0.001621 0 -1 -1 
  2453693.754169     0.977057     0.001620 0 -1 -1 
  2453693.755209     0.976158     0.001618 0 -1 -1 
  2453693.756240     0.975978     0.001618 0 -1 -1 
  2453693.757303     0.975798     0.001618 0 -1 -1 
  2453693.758322     0.978498     0.001622 0 -1 -1 
  2453693.759359     0.979761     0.001624 0 -1 -1 
  2453693.760404     0.982291     0.001538 0 -1 -1 
  2453693.761423     0.980031     0.001625 0 -1 -1 
  2453693.762452     0.993025     0.001555 0 -1 -1 
  2453693.763508     0.990649     0.001642 0 -1 -1 
  2453693.764578     0.997149     0.001653 0 -1 -1 
  2453693.765863     0.992567     0.001646 0 -1 -1 
  2453693.766913     0.992019     0.001645 0 -1 -1 
  2453693.767961     0.992659     0.001554 0 -1 -1 
  2453693.768989     0.994123     0.001648 0 -1 -1 
  2453693.770214     0.995222     0.001558 0 -1 -1 
  2453693.771252     1.001475     0.001660 0 -1 -1 
  2453693.772289     1.002952     0.001663 0 -1 -1 
  2453693.773317     1.001106     0.001567 0 -1 -1 
  2453693.774346     0.996690     0.001744 0 -1 -1 
  2453693.775378     0.993482     0.001647 0 -1 -1 
  2453693.776437     0.992476     0.001645 0 -1 -1 
  2453693.777519     0.998068     0.001563 0 -1 -1 
  2453693.778588     1.009532     0.001674 0 -1 -1 
  2453693.779938     0.997884     0.001654 0 -1 -1 
  2453693.780961     0.995039     0.001650 0 -1 -1 
  2453693.781991     0.998527     0.001655 0 -1 -1 
  2453693.783033     1.009811     0.001674 0 -1 -1 
  2453693.784062     0.999540     0.001657 0 -1 -1 
  2453693.785089     1.006283     0.001668 0 -1 -1 
  2453693.786311     0.999632     0.001565 0 -1 -1 
  2453693.787359     1.001383     0.001660 0 -1 -1 
  2453693.788386     1.005634     0.001667 0 -1 -1 
  2453693.789423     0.994764     0.001649 0 -1 -1 
  2453693.790471     0.994214     0.001648 0 -1 -1 
  2453693.791481     1.001106     0.001660 0 -1 -1 
  2453693.792682     0.996231     0.001652 0 -1 -1 
  2453693.793726     1.002213     0.001569 0 -1 -1 
  2453693.794762     0.995405     0.001650 0 -1 -1 
  2453693.797855     0.993299     0.001647 0 -1 -1 
  2453693.798907     1.006932     0.001669 0 -1 -1 
  2453693.799946     0.990102     0.001733 0 -1 -1 
  2453693.800991     1.008324     0.001672 0 -1 -1 
  2453693.802148     1.000000     0.001658 0 -1 -1 
  2453693.803239     0.983920     0.001631 0 -1 -1 
  2453693.804320     1.005634     0.001667 0 -1 -1 
  2453693.805514     1.001290     0.001660 0 -1 -1 
  2453693.806532     0.996598     0.001652 0 -1 -1 
