57739.766680     1.005464     0.000145 0 -1 -1 
57739.807544     1.005346     0.000145 0 -1 -1 
57739.827977     1.005462     0.000145 0 -1 -1 
57739.848409     1.005250     0.000145 0 -1 -1 
57739.868841     1.004804     0.000145 0 -1 -1 
57739.889274     1.005224     0.000145 0 -1 -1 
57739.909706     1.005359     0.000145 0 -1 -1 
57739.930138     1.005411     0.000145 0 -1 -1 
57739.950570     1.005383     0.000145 0 -1 -1 
57739.971003     1.005360     0.000145 0 -1 -1 
57739.991435     1.005239     0.000145 0 -1 -1 
57740.011867     1.005282     0.000145 0 -1 -1 
57740.052732     1.005336     0.000145 0 -1 -1 
57740.073164     1.005271     0.000145 0 -1 -1 
57740.093596     1.005338     0.000145 0 -1 -1 
57740.114028     1.005301     0.000145 0 -1 -1 
57740.134461     1.004746     0.000145 0 -1 -1 
57740.154893     1.004753     0.000145 0 -1 -1 
57740.175325     1.005117     0.000145 0 -1 -1 
57740.195758     1.005178     0.000145 0 -1 -1 
57740.216190     1.005178     0.000145 0 -1 -1 
57740.236622     1.005323     0.000145 0 -1 -1 
57740.257054     1.005479     0.000145 0 -1 -1 
57740.297919     1.005161     0.000145 0 -1 -1 
57740.318351     1.004986     0.000145 0 -1 -1 
57740.338784     1.004922     0.000145 0 -1 -1 
57740.359216     1.004906     0.000145 0 -1 -1 
57740.379648     1.004942     0.000145 0 -1 -1 
57740.400080     1.004942     0.000145 0 -1 -1 
57740.420513     1.004258     0.000145 0 -1 -1 
57740.440945     1.004505     0.000145 0 -1 -1 
57740.461377     1.004782     0.000145 0 -1 -1 
57740.481809     1.004765     0.000145 0 -1 -1 
57740.502242     1.004832     0.000145 0 -1 -1 
57740.522674     1.004861     0.000145 0 -1 -1 
57740.543106     1.004712     0.000145 0 -1 -1 
57740.563538     1.004694     0.000145 0 -1 -1 
57740.583971     1.004545     0.000145 0 -1 -1 
57740.604403     1.004575     0.000145 0 -1 -1 
57740.624835     1.004614     0.000145 0 -1 -1 
57740.645267     1.004403     0.000145 0 -1 -1 
57740.665700     1.004487     0.000145 0 -1 -1 
57740.686132     1.004505     0.000145 0 -1 -1 
57740.706564     1.004153     0.000145 0 -1 -1 
57740.726997     1.004540     0.000145 0 -1 -1 
57740.747429     1.004796     0.000145 0 -1 -1 
57740.788293     1.004376     0.000145 0 -1 -1 
57740.808726     1.004295     0.000145 0 -1 -1 
57740.829158     1.004214     0.000145 0 -1 -1 
57740.849590     1.004171     0.000145 0 -1 -1 
57740.870022     1.004238     0.000145 0 -1 -1 
57740.890454     1.004258     0.000145 0 -1 -1 
57740.910887     1.004239     0.000145 0 -1 -1 
57740.931319     1.004295     0.000145 0 -1 -1 
57740.951751     1.004353     0.000145 0 -1 -1 
57740.972184     1.004174     0.000145 0 -1 -1 
57740.992616     1.003977     0.000145 0 -1 -1 
57741.033480     1.004086     0.000145 0 -1 -1 
57741.053913     1.003969     0.000145 0 -1 -1 
57741.074345     1.003937     0.000145 0 -1 -1 
57741.094777     1.003884     0.000145 0 -1 -1 
57741.115209     1.003803     0.000145 0 -1 -1 
57741.135641     1.003798     0.000145 0 -1 -1 
57741.156074     1.003712     0.000145 0 -1 -1 
57741.176506     1.003660     0.000145 0 -1 -1 
57741.196938     1.003690     0.000145 0 -1 -1 
57741.217370     1.003572     0.000145 0 -1 -1 
57741.237803     1.003648     0.000145 0 -1 -1 
57741.278667     1.003165     0.000145 0 -1 -1 
57741.299099     1.003579     0.000145 0 -1 -1 
57741.319532     1.003341     0.000145 0 -1 -1 
